* Measurement data measured by REW V5.20.8
* Source: Generic_1 [plughw:1,0], Capture (Capture), R, volume: 0.508
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 10 Jul, 2022 10:34:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Jul 10
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), dBFS(dBFS), Phase(degrees)
187.133803, -33.950, -137.9653
187.500014, -33.947, -138.0346
187.866225, -33.944, -138.1035
188.232436, -33.941, -138.1703
188.598647, -33.938, -138.2340
188.964857, -33.936, -138.2939
189.331068, -33.933, -138.3500
189.697279, -33.930, -138.4028
190.063490, -33.926, -138.4532
190.429701, -33.922, -138.5022
190.795912, -33.918, -138.5507
191.162123, -33.914, -138.5995
191.528334, -33.909, -138.6490
191.894545, -33.906, -138.6994
192.260756, -33.902, -138.7507
192.626967, -33.899, -138.8028
192.993178, -33.896, -138.8557
193.359389, -33.893, -138.9093
193.725600, -33.890, -138.9638
194.091811, -33.887, -139.0188
194.458022, -33.884, -139.0739
194.824233, -33.880, -139.1290
195.190444, -33.877, -139.1842
195.556655, -33.875, -139.2401
195.922866, -33.872, -139.2977
196.289077, -33.871, -139.3586
196.655288, -33.870, -139.4242
197.021499, -33.869, -139.4960
197.387710, -33.869, -139.5746
197.753921, -33.868, -139.6601
198.120132, -33.868, -139.7513
198.486343, -33.867, -139.8456
198.852554, -33.865, -139.9386
199.218765, -33.863, -140.0252
199.584976, -33.860, -140.1002
199.951187, -33.858, -140.1597
200.317397, -33.855, -140.2024
200.683608, -33.851, -140.2294
201.049819, -33.847, -140.2444
201.416030, -33.843, -140.2523
201.782241, -33.839, -140.2580
202.148452, -33.835, -140.2654
202.514663, -33.832, -140.2773
202.880874, -33.828, -140.2951
203.247085, -33.825, -140.3192
203.613296, -33.822, -140.3494
203.979507, -33.819, -140.3852
204.345718, -33.816, -140.4255
204.711929, -33.814, -140.4689
205.078140, -33.811, -140.5140
205.444351, -33.809, -140.5598
205.810562, -33.807, -140.6054
206.176773, -33.805, -140.6508
206.542984, -33.803, -140.6964
206.909195, -33.800, -140.7427
207.275406, -33.798, -140.7904
207.641617, -33.794, -140.8401
208.007828, -33.791, -140.8921
208.374039, -33.788, -140.9463
208.740250, -33.785, -141.0023
209.106461, -33.782, -141.0594
209.472672, -33.779, -141.1166
209.838883, -33.777, -141.1732
210.205094, -33.776, -141.2282
210.571305, -33.774, -141.2812
210.937516, -33.773, -141.3320
211.303726, -33.772, -141.3803
211.669937, -33.771, -141.4262
212.036148, -33.770, -141.4698
212.402359, -33.768, -141.5113
212.768570, -33.767, -141.5511
213.134781, -33.765, -141.5897
213.500992, -33.763, -141.6282
213.867203, -33.761, -141.6675
214.233414, -33.759, -141.7087
214.599625, -33.756, -141.7524
214.965836, -33.754, -141.7989
215.332047, -33.752, -141.8480
215.698258, -33.750, -141.8989
216.064469, -33.748, -141.9506
216.430680, -33.746, -142.0018
216.796891, -33.744, -142.0514
217.163102, -33.742, -142.0983
217.529313, -33.739, -142.1419
217.895524, -33.737, -142.1818
218.261735, -33.734, -142.2182
218.627946, -33.732, -142.2515
218.994157, -33.729, -142.2824
219.360368, -33.727, -142.3114
219.726579, -33.724, -142.3394
220.092790, -33.723, -142.3669
220.459001, -33.721, -142.3943
220.825212, -33.720, -142.4221
221.191423, -33.719, -142.4507
221.557634, -33.717, -142.4805
221.923845, -33.716, -142.5118
222.290056, -33.714, -142.5448
222.656266, -33.713, -142.5796
223.022477, -33.711, -142.6159
223.388688, -33.709, -142.6533
223.754899, -33.708, -142.6914
224.121110, -33.706, -142.7296
224.487321, -33.705, -142.7679
224.853532, -33.705, -142.8062
225.219743, -33.704, -142.8448
225.585954, -33.704, -142.8840
225.952165, -33.704, -142.9241
